,Id,Label,Count,Influence,AvgInfluence
41,Instore ads,Instore ads,1033,49161.0,47.59051306873185
42,Social network ad,Social network ad,715,24656.0,34.483916083916085
43,Online video ad,Online video ad,629,21196.0,33.69793322734499
44,Kids/ family request,Kids/ family request,821,50306.0,61.274056029232646
45,Product sample,Product sample,804,46452.0,57.776119402985074
46,Internet Banner ad,Internet Banner ad,670,22016.0,32.85970149253731
47,Ads on FTA TV,Ads on FTA TV,550,20477.0,37.230909090909094
48,Specialist one-to-one recommendation,Specialist one-to-one recommendation,582,45631.0,78.40378006872852
49,Relevant radio programs,Relevant radio programs,449,36368.0,80.99777282850779
50,Retailer catalogues/mailing,Retailer catalogues/mailing,992,57215.0,57.676411290322584
51,Ads in Magazines,Ads in Magazines,748,28742.0,38.42513368983957
52,Internet brand video,Internet brand video,501,30400.0,60.678642714570856
53,Email ad,Email ad,781,29247.0,37.44814340588989
54,Relevant TV programs,Relevant TV programs,680,51699.0,76.02794117647059
55,Display in public area,Display in public area,875,45084.0,51.52457142857143
56,Email,Email,943,47217.0,50.07104984093319
57,Free gift with purchase,Free gift with purchase,749,37871.0,50.562082777036046
58,Information on packaging,Information on packaging,895,52178.0,58.299441340782124
59,Online viral ad,Online viral ad,455,15343.0,33.72087912087912
60,Customer magazine/ letter,Customer magazine/ letter,527,26709.0,50.68121442125237
61,Instore flyers/ catalogues,Instore flyers/ catalogues,924,53421.0,57.814935064935064
62,Instore sample/ demo,Instore sample/ demo,671,37970.0,56.58718330849479
63,Expert review/ recommendation,Expert review/ recommendation,801,47563.0,59.37952559300874
64,Contest/ competitions,Contest/ competitions,605,28812.0,47.623140495867766
65,Internet search,Internet search,1321,69828.0,52.85995457986374
66,Brand store/ Dealership/ Garage/ Bank,Brand store/ Dealership/ Garage/ Bank,595,28741.0,48.30420168067227
67,Print articles,Print articles,650,49186.0,75.67076923076922
68,Good causes sponsor,Good causes sponsor,462,18596.0,40.25108225108225
69,Online consumer video,Online consumer video,480,31955.0,66.57291666666667
70,Word of mouth,Word of mouth,1440,74348.0,51.63055555555555
71,Sampling,Sampling,727,40926.0,56.29436038514443
72,Instore displays,Instore displays,1253,71871.0,57.359138068635275
73,Brand staff,Brand staff,496,23926.0,48.23790322580645
74,Roadshows/ seminars/ trade fairs,Roadshows/ seminars/ trade fairs,375,25854.0,68.944
75,Expert recommendation,Expert recommendation,727,47363.0,65.14855570839065
76,Internet display ads,Internet display ads,775,34550.0,44.58064516129032
77,Social network likes,Social network likes,600,46906.0,78.17666666666666
78,Internet search ads,Internet search ads,866,40276.0,46.508083140877595
79,Ads at the Cinema,Ads at the Cinema,868,33288.0,38.35023041474654
80,Sports sponsor,Sports sponsor,454,21640.0,47.66519823788546
81,Print promotion/ coupons/ shopping dockets,Print promotion/ coupons/ shopping dockets,886,42911.0,48.432279909706544
82,Mobile phone ads/ promotion,Mobile phone ads/ promotion,517,20657.0,39.95551257253385
83,Consumer review,Consumer review,896,54653.0,60.996651785714285
84,Personal use of the brand,Personal use of the brand,1832,99569.0,54.349890829694324
